ResponseId,consent,Condition.RSP.desc,Cond_RSP_happy,Cond_RSP_proud,Cond_RSP_annoyed,Cond_RSP_jealous,Cond_RSP_upset,Cond_RSP_angry,Cond_RSP_inferior,Condition.SP.desc,Cond_SP_happy,Cond_SP_proud,Cond_SP_annoyed,Cond_SP_jealous,Cond_SP_upset,Cond_SP_angry,Cond_SP_inferior,Gender,Age,issues?,ach_dummy,ind_skill_dummy,poss_money_status_power_dummy,fam_rel_dummy,luck_dummy,Exclude ,Reason,
13,1,,,,,,,,,"I remember bragging to some of my younger co-workers about how I am almost done with my college. I knew they were just starting so I felt superior. I have finished most of my general education classes, I just need to figure out what I want to major in. I feel positive looking back on this.",7,7,2,1,1,1,1,1,24,No issues,1,0,0,0,0,0,,
14,1,,,,,,,,,I got the highest grade on the midterm for my current class. I did brag about this to my friend that already graduated because he thinks he's better than me at everything,5,6,4,5,1,1,1,2,23,no,1,0,0,0,0,0,,
15,1,,,,,,,,,I figured out a very clever solution to a client's financial need and was telling a colleague about it.,5,5,2,2,1,1,2,1,41,no,1,0,0,0,0,0,,
16,1,,,,,,,,,when i had purchased a luxury good ,7,7,5,7,2,1,4,1,34,no,0,0,1,0,0,0,,
17,1,"At a party a guy was telling me how he was ranked higher than I was in League of Legends, not that I really cared or cared to believe him, but he didn't really know what the names of certain characters were so I thought it was really questionable.",1,1,7,1,1,1,1,,,,,,,,,1,25,,1,0,0,0,0,0,,
18,1,,,,,,,,,I bragged about a purchase I made. ,5,4,2,3,2,1,2,2,31,no,0,0,1,0,0,0,,
19,1,"My cousin who had her fifth child bragged about being able ""to carry a baby,"" giving birth to her defining a woman",7,3,7,1,3,3,1,,,,,,,,,2,37,no,0,1,0,0,0,0,,
20,1,"Last week my friend bragged to me about his test score. He got a higher grade than me, and rubbed it in my face. It made me feel bad. ",2,2,6,2,4,5,3,,,,,,,,,1,21,none,1,0,0,0,0,0,,
21,1,,,,,,,,,"I had to do a work trip where we backpacked into the High Uintas Wilderness to do an endangered toad survey. We hike about 5 miles in and were hit with high wings, hail, and lightning every day, as well as some close moose encounters. We were about 10,000 feet so it was cold and the weather changed quickly. In all, we hike about 30 miles while surveying all while being confronted with horrible weather and navigation challenges. ",4,5,5,5,2,3,2,1,27,no,1,0,0,0,0,0,,
22,1,,,,,,,,,"I bragged to my sister about a week ago about how i was so good at track that i didnt even want to go to the meet and the track bus came to my house to pick me up, and i ended up winning 1 gold and 2 silver medals,.",4,5,6,4,4,5,2,1,33,no,0,1,0,0,0,0,,
23,1,"My brother bragged to me about his son who was in a play.  He bragged about how good he was in it, and how everyone came up to him afterwards and said how good and charismatic his son was in the leading role.",1,1,7,6,5,4,7,,,,,,,,,1,39,No.  It all worked fine and was clear.,0,0,0,1,0,0,,
24,1,,,,,,,,,I bragged about moving to denver to a friend. He's still stuck in missouri. I still feel good about it.,4,5,2,2,3,3,3,1,31,no,1,0,0,0,0,0,,
25,1,I have heard other musicians tell me how good they are.,3,3,6,1,1,1,1,,,,,,,,,1,37,no,0,1,0,0,0,0,,
26,1,,,,,,,,,"I brag constantly on my nephew. I know I am biased, but he is a handsome boy and very sweet nature. He has a bubbly personality that makes adults even want to be around him. I think he is going to be a great little asset to the world.",5,1,4,1,1,1,1,2,39,no,0,0,0,1,0,0,,
27,1,"My friend is a police officer and he likes to brag about some of the busts he makes, specifically when it come to drugs. He likes to give specifics about how the chases went down and how he got to arrest the people. ",5,5,4,2,2,2,1,,,,,,,,,1,29,No,1,0,0,0,0,0,,
28,1,,,,,,,,,I talked to someone about how I did well in a race.,2,2,2,6,2,1,5,1,30,no,1,0,0,0,0,0,,
29,1,,,,,,,,,"I once bragged to a girl about how I got a perfect score on my AP calculus exam. She was unimpressed, understandably so.",1,1,7,3,5,4,3,1,30,,1,0,0,0,0,0,,
30,1,A friend bragged to me about saving up enough money to travel asia for a year.,1,1,7,3,3,3,1,,,,,,,,,1,32,no,0,0,1,0,0,0,,
31,1,,,,,,,,,"Several months ago I ran a megagame (a large scale game event with 50+ players that takes several hours to finish). While I was at a gaming convention that happened to have several megagame events I talked up my events to people in line, waiting to see if they could get into the events at that convention. ""Oh yeah, this is going to be fun! I've run one of these myself!""",5,5,2,5,1,1,2,1,35,no,1,0,0,0,0,0,,
32,1,,,,,,,,,I got a promotion at work and I called a friend of mine to told them I got it. I was really pleased with myself and I let it show.,6,6,2,1,1,1,1,2,34,No.,1,0,0,0,0,0,,
33,1,A friend got a raise and was able to move from his shared 2 bedroom apartment into a studio in a decent neighborhood. He would talk incessantly about how wonderful it was to not have roommates. I'm five years older than him and have never lived alone. ,5,5,5,7,2,3,6,,,,,,,,,2,37,no,1,0,0,0,0,0,,
34,1,,,,,,,,,When we won the Southwest Cup and I scored the winning goal in a shootout.,6,5,1,1,1,1,1,2,35,,1,0,0,0,0,0,,
35,1,my new job,4,5,3,4,4,5,2,,,,,,,,,1,33,no,1,0,0,0,0,0,,
36,1,,,,,,,,,i talked about the nice exstentions that i wore,2,6,5,4,4,4,3,2,26,,0,0,1,0,0,0,,
37,1,"A coworker of my husband's recently bragged to me about getting a very coveted position starting next year. It was a job that anyone in the group would have really liked, and he brought it up unprompted while in a social setting. He clearly wanted everyone to acknowledge how great he was for getting it, though we all know his connections played a big role. It was awkward and uncomfortable for everyone involved, except of course the bragger.",1,1,7,6,2,2,1,,,,,,,,,2,29,"The timer is very short, which makes it difficult to complete a writing task, as that takes time.",1,0,0,0,0,0,,
38,1,"This is the least desirable way to brag. In Speer's framework, this is the least likely form of self-praise to be believable and the most likely to violate social norms.  Without confirming evidence, people are not likely to believe you when you say that you possess positive qualities such as being smart, well-liked, or talented",2,4,3,3,3,4,4,,,,,,,,,1,25,none,0,0,0,0,0,1,"This person is giving a theoretical explanation for bragging, not talking about one specific situation. ",
39,1,,,,,,,,,"In my office i was bragged my co workers those who have not work properly.It makes me very angry and not good.",3,5,6,5,3,7,5,1,26,no,0,0,0,0,0,1,I excluded this person because the situation described doesn't seem that the person is bragging about him/herself,
40,1,,,,,,,,,I won on a lottery ticket so I bragged to all my friends how much I won,4,4,6,7,6,5,6,2,24,no,0,0,0,0,1,0,,
41,1,My friend had received a new smartphone and he knew i wanted one. he wasn't so in my face or on-the-nose about it. but he would drop subtle comments about how nice it is to have it and how happy i would be if it was i that had gotten it instead.,2,1,7,6,3,2,5,,,,,,,,,1,24,Nope!,0,0,1,0,0,0,,
42,1,Recently my friend bragged to me about how well he did on a test compared to the others in the class. Although he only made a B he still did better than the rest of the class and was very happy about it. He bragged for weeks about how he did better than the class and how he was so much smarter than the rest of the class,5,4,7,1,1,1,1,,,,,,,,,1,21,No ,0,1,0,0,0,0,,
43,1,,,,,,,,,"I bragged about the fact that my child could read words at two years old without having assistance in learning from anyone, and that they taught themselves to read at four years old.  I was proud, but it was also bragging. ",5,1,3,1,1,1,1,2,39,no,0,0,0,1,0,0,,
44,1,,,,,,,,,I have bragged about the benefits at my place of employment. I have very good time off and insurance benefits. My company also has a lot of external events which I also brag about.,7,5,4,5,2,1,4,2,22,,0,0,1,0,0,0,,
45,1,"My sister was recently bragging about how much she helped my uncle's swollen, weeping lower legs using her tuning forks.  No one I know really believes her, but she insists she reduced the swelling a lot.",7,7,5,1,1,1,1,,,,,,,,,2,60,no,0,1,0,0,0,0,,
46,1,My friend bought a new car and told me about  it,3,4,2,2,2,1,2,,,,,,,,,1,44,no,0,0,1,0,0,0,,
47,1,When I topped the sales at my job,6,6,1,1,1,1,1,,,,,,,,,2,40,no,1,0,0,0,0,0,,
48,1,"I remember when my friend got a new gig, he bragged about how much money he would make. He said he would be getting $500 or more per night.",4,3,5,1,1,1,1,,,,,,,,,1,31,No issues at all.,0,0,1,0,0,0,,
49,1,When a coworker bought a new Prius. He bragged me about the car.,4,7,3,1,1,1,1,,,,,,,,,1,29,No,0,0,1,0,0,0,,
50,1,,,,,,,,,I bragged about how much Christmas bonus I received to my sister. She was talking about how little she received and I wanted to compare.,7,7,2,5,1,1,1,2,43,,0,0,1,0,0,0,,
51,1,,,,,,,,,I have bragged about getting a job that someone else was up for. It was given to me because of my interview and credentials.,4,3,7,6,4,3,2,2,46,none,1,0,0,0,0,0,,
52,1,,,,,,,,,I bragged about my children and their successes,5,5,2,2,1,1,1,1,56,none,0,0,0,1,0,0,,
